price,year,condition,cylinders,fuel,odometer,transmission,size,type
5250,2005,excellent,6 cylinders,gas,89600,automatic,full-size,sedan
21465,2012,excellent,6 cylinders,gas,17463,automatic,mid-size,hatchback
8500,2014,like new,4 cylinders,gas,52250,automatic,mid-size,sedan
9500,2014,like new,4 cylinders,gas,72250,automatic,mid-size,sedan
8999,2015,like new,4 cylinders,gas,83600,automatic,mid-size,sedan
5499,2007,excellent,6 cylinders,gas,80000,automatic,mid-size,sedan
4850,2012,excellent,4 cylinders,gas,75000,manual,mid-size,sedan
16900,2016,excellent,4 cylinders,gas,51135,automatic,compact,sedan
13900,2012,excellent,6 cylinders,gas,96900,automatic,sub-compact,coupe
13900,2013,excellent,4 cylinders,gas,65222,automatic,compact,sedan
15900,2014,excellent,4 cylinders,gas,85238,automatic,sub-compact,sedan
4750,2009,excellent,4 cylinders,gas,70000,automatic,mid-size,sedan
7500,2013,good,6 cylinders,gas,209,automatic,mid-size,sedan
4900,2005,good,4 cylinders,gas,79700,automatic,mid-size,sedan
21000,2014,excellent,4 cylinders,gas,70000,manual,mid-size,wagon
11998,2018,excellent,4 cylinders,gas,16626,automatic,compact,coupe
1000,2001,good,6 cylinders,gas,86000,automatic,full-size,sedan
12990,2015,excellent,4 cylinders,gas,71738,automatic,full-size,sedan
9000,2011,good,6 cylinders,gas,44000,automatic,full-size,sedan
9000,2011,good,6 cylinders,gas,44000,automatic,full-size,sedan
8995,2013,like new,6 cylinders,gas,68507,automatic,mid-size,sedan
14299,2017,like new,4 cylinders,gas,81000,automatic,full-size,sedan
13900,2013,excellent,6 cylinders,gas,0,automatic,compact,coupe
10900,2012,excellent,6 cylinders,gas,94310,automatic,mid-size,sedan
5400,2012,good,4 cylinders,gas,95000,automatic,compact,sedan
6000,2013,excellent,4 cylinders,gas,94000,automatic,compact,hatchback
8995,2010,like new,4 cylinders,gas,60046,automatic,full-size,sedan
11998,2018,excellent,4 cylinders,gas,16626,automatic,compact,coupe
5995,2009,like new,4 cylinders,gas,91591,automatic,full-size,wagon
8500,2016,excellent,4 cylinders,gas,40500,automatic,full-size,hatchback
8700,2017,excellent,4 cylinders,gas,32000,automatic,full-size,sedan
8995,2009,like new,6 cylinders,gas,50611,automatic,full-size,sedan
12995,2012,like new,4 cylinders,gas,49371,automatic,full-size,sedan
10999,2015,good,4 cylinders,gas,72964,automatic,mid-size,sedan
7995,2015,excellent,4 cylinders,gas,60000,automatic,mid-size,sedan
9995,2012,good,4 cylinders,gas,89000,automatic,full-size,sedan
